State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/1,Parts per billion,None,24,100,3.0875,14.6,23,13,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/2,Parts per billion,None,24,100,14.475,24.3,7,23,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/3,Parts per billion,None,24,100,19.483333,34.3,19,32,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/4,Parts per billion,None,24,100,27.904167,37.3,20,35,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/5,Parts per billion,None,24,100,29.441667,36.8,20,34,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/6,Parts per billion,None,23,96,14.717391,32,0,30,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/7,Parts per billion,None,22,92,12.586364,34.3,23,32,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/8,Parts per billion,None,24,100,27.433333,43,19,41,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/9,Parts per billion,None,24,100,32.604167,46.6,18,43,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/10,Parts per billion,None,21,88,35.490476,42.3,21,40,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/11,Parts per billion,None,23,96,22.834783,34.5,2,32,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/12,Parts per billion,None,23,96,7.347826,10.4,4,9,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/13,Parts per billion,None,22,92,6.695455,11.3,7,10,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/14,Parts per billion,None,22,92,16.645455,40.7,22,38,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/15,Parts per billion,None,23,96,25.417391,37.3,2,35,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/16,Parts per billion,None,23,96,29.508696,42,7,40,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/17,Parts per billion,None,23,96,9.508696,26.7,0,25,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/18,Parts per billion,None,23,96,9.665217,24.7,17,23,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/19,Parts per billion,None,23,96,15.891304,34.9,22,32,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/20,Parts per billion,None,22,92,21.686364,34.9,18,32,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/21,Parts per billion,None,22,92,7.481818,21.9,0,20,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/22,Parts per billion,None,23,96,5.869565,17.9,18,16,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/23,Parts per billion,None,23,96,13.743478,26.8,19,25,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/24,Parts per billion,None,23,96,14.943478,33.1,7,31,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/25,Parts per billion,None,23,96,18.630435,32.8,22,30,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/26,Parts per billion,None,23,96,18.130435,28.5,18,26,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/27,Parts per billion,None,22,92,20.695455,36.2,20,34,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/28,Parts per billion,None,22,92,14.990909,35.7,6,33,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/29,Parts per billion,None,23,96,24.06087,45,19,42,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/30,Parts per billion,None,23,96,32.817391,44.7,8,42,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/1/31,Parts per billion,None,23,96,33.46087,45.1,8,42,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,42602,1,41.492707,-112.018863,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour 2010,2019/2/1,Parts per billion,None,23,96,34.13913,51.2,20,48,99,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
