State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/1/30,Micrograms/cubic meter (LC),None,1,100,1.3,1.3,0,5,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/2/2,Micrograms/cubic meter (LC),None,1,100,1.2,1.2,0,5,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/2/5,Micrograms/cubic meter (LC),None,1,100,0.2,0.2,0,1,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/2/8,Micrograms/cubic meter (LC),None,1,100,0.6,0.6,0,3,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/2/11,Micrograms/cubic meter (LC),None,1,100,0.5,0.5,0,2,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/2/14,Micrograms/cubic meter (LC),None,1,100,0.7,0.7,0,3,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/2/17,Micrograms/cubic meter (LC),None,1,100,0.4,0.4,0,2,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/3/1,Micrograms/cubic meter (LC),None,1,100,1.3,1.3,0,5,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/3/4,Micrograms/cubic meter (LC),None,1,100,0.2,0.2,0,1,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
49,17,101,88502,1,37.618383,-112.174368,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,2019/3/7,Micrograms/cubic meter (LC),None,1,100,0.7,0.7,0,3,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",,Bryce Canyon NP,Utah,Garfield,Not in a city,,2020/12/23
