State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/1,Parts per million,None,17,100,0.026824,0.034,11,31,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/2,Parts per million,None,17,100,0.022529,0.027,10,25,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/3,Parts per million,None,17,100,0.013882,0.022,10,20,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/4,Parts per million,None,17,100,0.009647,0.018,10,17,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/5,Parts per million,None,17,100,0.009706,0.017,23,16,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/6,Parts per million,None,17,100,0.028353,0.034,23,31,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/7,Parts per million,None,17,100,0.022412,0.037,8,34,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/8,Parts per million,None,17,100,0.010824,0.021,9,19,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/9,Parts per million,None,17,100,0.009471,0.021,9,19,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
49,3,3,44201,1,41.492707,-112.018863,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2019/1/10,Parts per million,None,17,100,0.006647,0.014,8,13,, - ,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,"Ogden-Clearfield, UT",2021/11/2
